n,t,Term
Adriana Berlanga,Social Capital;next learning activity;ServiceIn online learning;adaptive learning;certain learning goal;eTwinning learning network;existing learning network;real learning situation;representative learning technology specification;social network site,"['social', 'capit', 'next', 'learn', 'activ', 'servicein', 'onlin', 'learn', 'adapt', 'learn', 'certain', 'learn', 'goal', 'etwin', 'learn', 'network', 'exist', 'learn', 'network', 'real', 'learn', 'situat', 'repres', 'learn', 'technolog', 'specif', 'social', 'network', 'site']"
Christine V. Bullen,advanced office workstation;office workstation useThis paper;research site environment;specific workstation requirement;Information Systems;secretarial work;advanced technology;Babson College;Office Analysis Methodology;following area,"['advanc', 'offic', 'workstat', 'offic', 'workstat', 'usethi', 'paper', 'research', 'site', 'environ', 'specif', 'workstat', 'requir', 'inform', 'system', 'secretari', 'work', 'advanc', 'technolog', 'babson', 'colleg', 'offic', 'analysi', 'methodolog', 'follow', 'area']"
Wei-Hua Wang,data set;synthetic data;time series data;high dimensional data;real data;XML data;anonymized data;gene expression data;original data;real data set,"['data', 'set', 'synthet', 'data', 'time', 'seri', 'data', 'high', 'dimension', 'data', 'real', 'data', 'xml', 'data', 'anonym', 'data', 'gene', 'express', 'data', 'origin', 'data', 'real', 'data', 'set']"
Tansu Alpcan,game theory;power control;access network;power control problem;network security;security game;rate allocation;multiple access network;call admission control;control framework,"['game', 'theori', 'power', 'control', 'access', 'network', 'power', 'control', 'problem', 'network', 'secur', 'secur', 'game', 'rate', 'alloc', 'multipl', 'access', 'network', 'call', 'admiss', 'control', 'control', 'framework']"
Marcus Schaefer,string graph;recognition problem;confluent graph;graph inequality;graph variable;planar graph;graph drawing;NPA string graph;cubic graph;embedding graph,"['string', 'graph', 'recognit', 'problem', 'confluent', 'graph', 'graph', 'inequ', 'graph', 'variabl', 'planar', 'graph', 'graph', 'draw', 'npa', 'string', 'graph', 'cubic', 'graph', 'embed', 'graph']"
Yu Chen,extensive experiment;main contribution;new concept;CDA algorithm;CTSC algorithm;GEP-Cluster algorithm;HDN-GEP algorithm;novel Cluster Delegate algorithm;proper algorithm;traditional GEP,"['extens', 'experi', 'main', 'contribut', 'new', 'concept', 'cda', 'algorithm', 'ctsc', 'algorithm', 'gep-clust', 'algorithm', 'hdn-gep', 'algorithm', 'novel', 'cluster', 'deleg', 'algorithm', 'proper', 'algorithm', 'tradit', 'gep']"
James G Schmolze,production rule;production system;compact representation;knowledge representation;decision maker;new Concept;natural language understanding;partial order;subsumption relation;parallel production systemsTo speed,"['product', 'rule', 'product', 'system', 'compact', 'represent', 'knowledg', 'represent', 'decis', 'maker', 'new', 'concept', 'natur', 'languag', 'understand', 'partial', 'order', 'subsumpt', 'relat', 'parallel', 'product', 'systemsto', 'speed']"
Cláudio Rosito Jung,shrinkage function;image gradient;lane boundary;gradient image;image multi-resolution decomposition;image segmentation;natural image;noisy image;Hough image;adaptive image,"['shrinkag', 'function', 'imag', 'gradient', 'lane', 'boundari', 'gradient', 'imag', 'imag', 'multi-resolut', 'decomposit', 'imag', 'segment', 'natur', 'imag', 'noisi', 'imag', 'hough', 'imag', 'adapt', 'imag']"
Duane Szafron,parallel programming;parallel programming system;computer game;parallel program;generative design pattern;programming experience;programming model;game designer;design pattern;parallel design pattern,"['parallel', 'program', 'parallel', 'program', 'system', 'comput', 'game', 'parallel', 'program', 'gener', 'design', 'pattern', 'program', 'experi', 'program', 'model', 'game', 'design', 'design', 'pattern', 'parallel', 'design', 'pattern']"
Maria da Graça Campos Pimentel,context information;social interaction;linear video;interactive video;video annotation;user interaction;interactive multimedia document;multimedia document;interactive TV;traditional timeline-based video control,"['context', 'inform', 'social', 'interact', 'linear', 'video', 'interact', 'video', 'video', 'annot', 'user', 'interact', 'interact', 'multimedia', 'document', 'multimedia', 'document', 'interact', 'tv', 'tradit', 'timeline-bas', 'video', 'control']"
A S Morse,supervisory control;sensor network;consensus problem;localization problem;mobile autonomous agent;Decentralized control;control strategy;Multi-agent Rendezvous Problem;Flocking problem;Rendezvous problem,"['supervisori', 'control', 'sensor', 'network', 'consensu', 'problem', 'local', 'problem', 'mobil', 'autonom', 'agent', 'decentr', 'control', 'control', 'strategi', 'multi-ag', 'rendezv', 'problem', 'flock', 'problem', 'rendezv', 'problem']"
Sunil Issar,search space;language model;mating method;training data;search procedure;Proving SystemThe TPS Theorem;spontaneous speech;word sequence;Path-focused duplication;recent improvement,"['search', 'space', 'languag', 'model', 'mate', 'method', 'train', 'data', 'search', 'procedur', 'prove', 'systemth', 'tp', 'theorem', 'spontan', 'speech', 'word', 'sequenc', 'path-focus', 'duplic', 'recent', 'improv']"
Frederik Vercauteren,elliptic curve;hyperelliptic curve;homomorphic scheme;proposed algorithm;homomorphic encryption scheme;BN curve;finite field;cross-protocol attack;efficient algorithm;improved algorithm,"['ellipt', 'curv', 'hyperellipt', 'curv', 'homomorph', 'scheme', 'propos', 'algorithm', 'homomorph', 'encrypt', 'scheme', 'bn', 'curv', 'finit', 'field', 'cross-protocol', 'attack', 'effici', 'algorithm', 'improv', 'algorithm']"
Bryan S. Morse,implicit approach;implicit surface;computational complexity;radial basis function;radial basis interpolants;active contour;performance prediction tool;complex model;medical image;similar image,"['implicit', 'approach', 'implicit', 'surfac', 'comput', 'complex', 'radial', 'basi', 'function', 'radial', 'basi', 'interpol', 'activ', 'contour', 'perform', 'predict', 'tool', 'complex', 'model', 'medic', 'imag', 'similar', 'imag']"
D. Denning,query set;confidential data;data element;data security;general tracker;security class;statistical databases;information flow;Statistical data bank;classified data,"['queri', 'set', 'confidenti', 'data', 'data', 'element', 'data', 'secur', 'gener', 'tracker', 'secur', 'class', 'statist', 'databas', 'inform', 'flow', 'statist', 'data', 'bank', 'classifi', 'data']"
Masayuki Arai,fault coverage;numerical example;packet loss;test data;Defect Level;burst packet loss;lost packet;test length;convolutional code;production test,"['fault', 'coverag', 'numer', 'exampl', 'packet', 'loss', 'test', 'data', 'defect', 'level', 'burst', 'packet', 'loss', 'lost', 'packet', 'test', 'length', 'convolut', 'code', 'product', 'test']"
Junpei Arai,network performance;new route;proposed system;proposed protocol;ad-hoc network;protocol search;well-known routing protocol;network load;robot system;medium access control protocol,"['network', 'perform', 'new', 'rout', 'propos', 'system', 'propos', 'protocol', 'ad-hoc', 'network', 'protocol', 'search', 'well-known', 'rout', 'protocol', 'network', 'load', 'robot', 'system', 'medium', 'access', 'control', 'protocol']"
Giuseppe Prencipe,black hole;finite time;mobile unit;mobile agent;swap edge;n log n;autonomous mobile robot;mobile sensor;self-deployment problem;agents suffice,"['black', 'hole', 'finit', 'time', 'mobil', 'unit', 'mobil', 'agent', 'swap', 'edg', 'n', 'log', 'n', 'autonom', 'mobil', 'robot', 'mobil', 'sensor', 'self-deploy', 'problem', 'agent', 'suffic']"
David Buttler,data type;bioinformatics data source;data source;Web document;benchmark data set;Web source;World Wide Web;Web data source;Wrapping web data;available data,"['data', 'type', 'bioinformat', 'data', 'sourc', 'data', 'sourc', 'web', 'document', 'benchmark', 'data', 'set', 'web', 'sourc', 'world', 'wide', 'web', 'web', 'data', 'sourc', 'wrap', 'web', 'data', 'avail', 'data']"
Tamio Arai,mobile robot;robot arm;robot system;proposed method;safety design;autonomous robot;mobile robot manipulators system;multiple mobile robot;prototype system;6-DOF robot arm,"['mobil', 'robot', 'robot', 'arm', 'robot', 'system', 'propos', 'method', 'safeti', 'design', 'autonom', 'robot', 'mobil', 'robot', 'manipul', 'system', 'multipl', 'mobil', 'robot', 'prototyp', 'system', '6-dof', 'robot', 'arm']"
Michael Rosemann,process model;process modeling;business process;process management;conceptual modeling;administering process management;business process diagram;distinct process design;generic process;practical process design work,"['process', 'model', 'process', 'model', 'busi', 'process', 'process', 'manag', 'conceptu', 'model', 'administ', 'process', 'manag', 'busi', 'process', 'diagram', 'distinct', 'process', 'design', 'gener', 'process', 'practic', 'process', 'design', 'work']"
Jingli Zhou,experimental result;storage system;M-channel filter bank system;low system overhead;proxy caching system;synchronization system call;system call;system overhead;intra coding;GHM system multiwavelets,"['experiment', 'result', 'storag', 'system', 'm-channel', 'filter', 'bank', 'system', 'low', 'system', 'overhead', 'proxi', 'cach', 'system', 'synchron', 'system', 'call', 'system', 'call', 'system', 'overhead', 'intra', 'code', 'ghm', 'system', 'multiwavelet']"
Mohamad Sawan,experimental result;power consumption;CMOS Capacitive Sensors;Deep Submicron Standard CMOS;m CMOS;m CMOS process;m CMOS technology;mm CMOS process;standard CMOS process;supply voltage,"['experiment', 'result', 'power', 'consumpt', 'cmo', 'capacit', 'sensor', 'deep', 'submicron', 'standard', 'cmo', 'm', 'cmo', 'm', 'cmo', 'process', 'm', 'cmo', 'technolog', 'mm', 'cmo', 'process', 'standard', 'cmo', 'process', 'suppli', 'voltag']"
Peter H. Schmitt,KeY System;deductive verification;formal specification;ongoing KeY project;deductive formal verification;KeY Approach;Model Driven Architecture initiative;formal method;Modelling OCL;OCL tool,"['key', 'system', 'deduct', 'verif', 'formal', 'specif', 'ongo', 'key', 'project', 'deduct', 'formal', 'verif', 'key', 'approach', 'model', 'driven', 'architectur', 'initi', 'formal', 'method', 'model', 'ocl', 'ocl', 'tool']"
Khaled S. Alghathbar,flow control policy;motion estimation;wireless sensor network;training phase;feature set;recognition phase;lip reading user authentication;two-factor authentication;access control policy;motion estimation analysis,"['flow', 'control', 'polici', 'motion', 'estim', 'wireless', 'sensor', 'network', 'train', 'phase', 'featur', 'set', 'recognit', 'phase', 'lip', 'read', 'user', 'authent', 'two-factor', 'authent', 'access', 'control', 'polici', 'motion', 'estim', 'analysi']"
Changqing An,IPv6 network;IPv6 traffic;network management;network performance;traffic distribution;traffic prediction;random sampling;user behavior;IPv6 network operator;Tsinghua University campus network,"['ipv6', 'network', 'ipv6', 'traffic', 'network', 'manag', 'network', 'perform', 'traffic', 'distribut', 'traffic', 'predict', 'random', 'sampl', 'user', 'behavior', 'ipv6', 'network', 'oper', 'tsinghua', 'univers', 'campu', 'network']"
G. Cosier,pictorial culture;disruptive technology;affective intelligence;information technology;affective information;new business model;new business structure;new century;new direction;new effect,"['pictori', 'cultur', 'disrupt', 'technolog', 'affect', 'intellig', 'inform', 'technolog', 'affect', 'inform', 'new', 'busi', 'model', 'new', 'busi', 'structur', 'new', 'centuri', 'new', 'direct', 'new', 'effect']"
Fumitoshi Matsuno,rescue robot;autonomous mobile robot;multiple robot;snake robot;Wiley Periodicals;autonomous mode;tele-operation mode;mobile robot;proposed system;rescue robot system,"['rescu', 'robot', 'autonom', 'mobil', 'robot', 'multipl', 'robot', 'snake', 'robot', 'wiley', 'period', 'autonom', 'mode', 'tele-oper', 'mode', 'mobil', 'robot', 'propos', 'system', 'rescu', 'robot', 'system']"
Andreas Wiese,approximation algorithm;approximation ratio;local algorithm;MWISR problem;unit disk graph;constant number;minimization problem;model link scheduling problem;real-time scheduling problem;unsplittable flow problem,"['approxim', 'algorithm', 'approxim', 'ratio', 'local', 'algorithm', 'mwisr', 'problem', 'unit', 'disk', 'graph', 'constant', 'number', 'minim', 'problem', 'model', 'link', 'schedul', 'problem', 'real-tim', 'schedul', 'problem', 'unsplitt', 'flow', 'problem']"
Kil To Chong,neural network;hot spot;proposed method;nonlinear system;proposed system;real system;neural network modeling;prediction model;transmission rate;proxy server,"['neural', 'network', 'hot', 'spot', 'propos', 'method', 'nonlinear', 'system', 'propos', 'system', 'real', 'system', 'neural', 'network', 'model', 'predict', 'model', 'transmiss', 'rate', 'proxi', 'server']"
"K. W. Lord, Jr.",IBM PCjr Personal;IBM Personal;IBM PCCSP review;IBM Personal Computer;CDP review;data processing career;system professional1001 question,"['ibm', 'pcjr', 'person', 'ibm', 'person', 'ibm', 'pccsp', 'review', 'ibm', 'person', 'comput', 'cdp', 'review', 'data', 'process', 'career', 'system', 'professional1001', 'question']"
Hiroshi Matsuno,hidden terminal;CTS exchange;CTS handshake;Mobile Agent;disaster information;transmission overhead;network system;packet collision;2-Phase RTS;Adaptive RTS,"['hidden', 'termin', 'ct', 'exchang', 'ct', 'handshak', 'mobil', 'agent', 'disast', 'inform', 'transmiss', 'overhead', 'network', 'system', 'packet', 'collis', '2-phase', 'rt', 'adapt', 'rt']"
Teh Ying Wah,data warehouse;specific disease data warehouse;data domain;data mining process;various data source;Lymphoma data warehouse;data collection;data extraction;data mining;hypertension data warehouse,"['data', 'warehous', 'specif', 'diseas', 'data', 'warehous', 'data', 'domain', 'data', 'mine', 'process', 'variou', 'data', 'sourc', 'lymphoma', 'data', 'warehous', 'data', 'collect', 'data', 'extract', 'data', 'mine', 'hypertens', 'data', 'warehous']"
Luiz F. Bittencourt,dependent task;grid environment;dynamic approach;Xavantes grid middleware;grid service;workflow execution;dynamic service instantiation;grid developer;grid environmentsOGSA grid;grid service composition,"['depend', 'task', 'grid', 'environ', 'dynam', 'approach', 'xavant', 'grid', 'middlewar', 'grid', 'servic', 'workflow', 'execut', 'dynam', 'servic', 'instanti', 'grid', 'develop', 'grid', 'environmentsogsa', 'grid', 'grid', 'servic', 'composit']"
Edgar Chávez,metric space;general metric space;metric spacesProximity;space requirement;vector space;metric database;metric property;metric proximity query;search algorithm;document metric space,"['metric', 'space', 'gener', 'metric', 'space', 'metric', 'spacesproxim', 'space', 'requir', 'vector', 'space', 'metric', 'databas', 'metric', 'properti', 'metric', 'proxim', 'queri', 'search', 'algorithm', 'document', 'metric', 'space']"
A. P. Rotshtein,fuzzy relation;genetic algorithm;fuzzy knowledge base;fuzzy model;fuzzy logic equation;fuzzy logical equations system;Sugeno fuzzy knowledge baseAdaptive;Zadeh fuzzy measures intersection;adaptive fuzzy diagnostic system;fuzzy cause,"['fuzzi', 'relat', 'genet', 'algorithm', 'fuzzi', 'knowledg', 'base', 'fuzzi', 'model', 'fuzzi', 'logic', 'equat', 'fuzzi', 'logic', 'equat', 'system', 'sugeno', 'fuzzi', 'knowledg', 'baseadapt', 'zadeh', 'fuzzi', 'measur', 'intersect', 'adapt', 'fuzzi', 'diagnost', 'system', 'fuzzi', 'caus']"
G. J. Lord,Hohenberg equation;noise intensity increase;numerical study;Stratonovich noise;additive noise;multiplicative noise;noise induced phenomenon;noise intensity;one-dimensional multiplicative noise;time white noise,"['hohenberg', 'equat', 'nois', 'intens', 'increas', 'numer', 'studi', 'stratonovich', 'nois', 'addit', 'nois', 'multipl', 'nois', 'nois', 'induc', 'phenomenon', 'nois', 'intens', 'one-dimension', 'multipl', 'nois', 'time', 'white', 'nois']"
Ron Bekkerman,interactive clustering;semi-supervised clustering;clustering quality;clustering result;clustering stability;distributional clustering;one-class clustering;spectral clustering;bottom-up clustering;clustering document,"['interact', 'cluster', 'semi-supervis', 'cluster', 'cluster', 'qualiti', 'cluster', 'result', 'cluster', 'stabil', 'distribut', 'cluster', 'one-class', 'cluster', 'spectral', 'cluster', 'bottom-up', 'cluster', 'cluster', 'document']"
Yevgen Voronenko,discrete Fourier;modpn library;new algorithm;Spiral system;vectorized code;Java library;library generator;FMA algorithm;existing algorithm;generic algorithm,"['discret', 'fourier', 'modpn', 'librari', 'new', 'algorithm', 'spiral', 'system', 'vector', 'code', 'java', 'librari', 'librari', 'gener', 'fma', 'algorithm', 'exist', 'algorithm', 'gener', 'algorithm']"
Noel Crespi,IMS service;Multimedia service;service provider;new service;service delivery;IPTV service;automatic service composition;service invocation mechanism;software service;virtual service,"['im', 'servic', 'multimedia', 'servic', 'servic', 'provid', 'new', 'servic', 'servic', 'deliveri', 'iptv', 'servic', 'automat', 'servic', 'composit', 'servic', 'invoc', 'mechan', 'softwar', 'servic', 'virtual', 'servic']"
Hans L. Vangheluwe,model transformation;multi-paradigm modelling;instance model;partial model;Statechart model;model editor;model transformation language;modelling language;multi-formalism modelling;Atomic DEVS model,"['model', 'transform', 'multi-paradigm', 'model', 'instanc', 'model', 'partial', 'model', 'statechart', 'model', 'model', 'editor', 'model', 'transform', 'languag', 'model', 'languag', 'multi-form', 'model', 'atom', 'dev', 'model']"
Philippe Leray,Bayesian network;causal Bayesian network;observational data;Bayesian network structure;structure learning;complex system;semi-Markovian causal model;latent tree model;experimental data;Bayesian Networks,"['bayesian', 'network', 'causal', 'bayesian', 'network', 'observ', 'data', 'bayesian', 'network', 'structur', 'structur', 'learn', 'complex', 'system', 'semi-markovian', 'causal', 'model', 'latent', 'tree', 'model', 'experiment', 'data', 'bayesian', 'network']"
Fei Yuan,simulation result;Cadence Design Systems;device model;V CMOS technology;CMOS technology;proposed transmitter;m CMOS technology;proposed Schmitt trigger;serial link;phase noise,"['simul', 'result', 'cadenc', 'design', 'system', 'devic', 'model', 'v', 'cmo', 'technolog', 'cmo', 'technolog', 'propos', 'transmitt', 'm', 'cmo', 'technolog', 'propos', 'schmitt', 'trigger', 'serial', 'link', 'phase', 'nois']"
Taro Tezuka,mapping rule;metadata element;Web search engine;search result;web search;Web search result;attribute name;proposed method;metadata mapping;search engine,"['map', 'rule', 'metadata', 'element', 'web', 'search', 'engin', 'search', 'result', 'web', 'search', 'web', 'search', 'result', 'attribut', 'name', 'propos', 'method', 'metadata', 'map', 'search', 'engin']"
Bruno Zatt,video coding;disparity estimation;on-chip memory;video property;Multiview Video Coding;power consumption;multiview video;multiview video codingA;on-chip multi-banked video memory;on-chip video memory,"['video', 'code', 'dispar', 'estim', 'on-chip', 'memori', 'video', 'properti', 'multiview', 'video', 'code', 'power', 'consumpt', 'multiview', 'video', 'multiview', 'video', 'codinga', 'on-chip', 'multi-bank', 'video', 'memori', 'on-chip', 'video', 'memori']"
Chenghu Zhou,computational grid;grid computing;point process;data processing;point data;point process data;simulated data;spatio-temporal data;different density;flow-partition exponent,"['comput', 'grid', 'grid', 'comput', 'point', 'process', 'data', 'process', 'point', 'data', 'point', 'process', 'data', 'simul', 'data', 'spatio-tempor', 'data', 'differ', 'densiti', 'flow-partit', 'expon']"
Jianhui Zhao,experimental result;forest fire;active basis model;candidate fire region;fire region;possible fire region;RBF method;inverse power method;new approach;airlight-albedo ambiguity model,"['experiment', 'result', 'forest', 'fire', 'activ', 'basi', 'model', 'candid', 'fire', 'region', 'fire', 'region', 'possibl', 'fire', 'region', 'rbf', 'method', 'invers', 'power', 'method', 'new', 'approach', 'airlight-albedo', 'ambigu', 'model']"
Anna Zamansky,canonical system;non-deterministic matrix;da Costa;distance semantics;non-deterministic semantics;classical logic;ary quantifiers;non-deterministic computation;non-deterministic phenomenon;non-deterministic semantic structure,"['canon', 'system', 'non-determinist', 'matrix', 'da', 'costa', 'distanc', 'semant', 'non-determinist', 'semant', 'classic', 'logic', 'ari', 'quantifi', 'non-determinist', 'comput', 'non-determinist', 'phenomenon', 'non-determinist', 'semant', 'structur']"
Lingzhong Zhao,test frame;Prolog program;call patterns semantics;call pattern;CPM testing;test case;description logic;test frame reduction;atomic action;information reuse,"['test', 'frame', 'prolog', 'program', 'call', 'pattern', 'semant', 'call', 'pattern', 'cpm', 'test', 'test', 'case', 'descript', 'logic', 'test', 'frame', 'reduct', 'atom', 'action', 'inform', 'reus']"
Walid Gaaloul,Web service;service composition;Web service registry;composite service;service interaction;business process;service composition execution failure;service execution reliability;service requesters;web service description,"['web', 'servic', 'servic', 'composit', 'web', 'servic', 'registri', 'composit', 'servic', 'servic', 'interact', 'busi', 'process', 'servic', 'composit', 'execut', 'failur', 'servic', 'execut', 'reliabl', 'servic', 'request', 'web', 'servic', 'descript']"
Peixiang Zhao,graph database;graph cube;information network;frequent free tree;graph stream;large graph databases;graph query;graph containment query processing;graph indexing;graph stream sample,"['graph', 'databas', 'graph', 'cube', 'inform', 'network', 'frequent', 'free', 'tree', 'graph', 'stream', 'larg', 'graph', 'databas', 'graph', 'queri', 'graph', 'contain', 'queri', 'process', 'graph', 'index', 'graph', 'stream', 'sampl']"
M. Zervakis,gene signature;early detection;Marker Selection;BIOPATTERN Grid;gene selection;proposed approach;biodata analysis;linear neuron;fusion method;support vector machine,"['gene', 'signatur', 'earli', 'detect', 'marker', 'select', 'biopattern', 'grid', 'gene', 'select', 'propos', 'approach', 'biodata', 'analysi', 'linear', 'neuron', 'fusion', 'method', 'support', 'vector', 'machin']"
Wei Liu,cognitive radio;cognitive radio network;cooperative spectrum;cognitive network;spectrum assignment;cognitive user;cognitive node;primary user;Correlation-based spectrum;Pipelined cooperative spectrum,"['cognit', 'radio', 'cognit', 'radio', 'network', 'cooper', 'spectrum', 'cognit', 'network', 'spectrum', 'assign', 'cognit', 'user', 'cognit', 'node', 'primari', 'user', 'correlation-bas', 'spectrum', 'pipelin', 'cooper', 'spectrum']"
Wei Liu,frequent pattern;experimental result;efficient algorithm;existing algorithm;ant colony optimization;fast algorithm;similar algorithm;gene sequence;frequent primary pattern;algorithm start,"['frequent', 'pattern', 'experiment', 'result', 'effici', 'algorithm', 'exist', 'algorithm', 'ant', 'coloni', 'optim', 'fast', 'algorithm', 'similar', 'algorithm', 'gene', 'sequenc', 'frequent', 'primari', 'pattern', 'algorithm', 'start']"
Marc-Philippe Huget,multiagent system;model checking;design stage;interaction protocol;feature model;domain-specific language;model-driven engineering;Recursive multi-agent system;agent interaction protocol;component-based formal specification language,"['multiag', 'system', 'model', 'check', 'design', 'stage', 'interact', 'protocol', 'featur', 'model', 'domain-specif', 'languag', 'model-driven', 'engin', 'recurs', 'multi-ag', 'system', 'agent', 'interact', 'protocol', 'component-bas', 'formal', 'specif', 'languag']"
A Geser,enriched system;regular language;linear system;uniform termination problem;match-bounded system;automated termination proof;termination problem;uniform termination;left-linear term;one-rule string,"['enrich', 'system', 'regular', 'languag', 'linear', 'system', 'uniform', 'termin', 'problem', 'match-bound', 'system', 'autom', 'termin', 'proof', 'termin', 'problem', 'uniform', 'termin', 'left-linear', 'term', 'one-rul', 'string']"
Edward E. Rothberg,performance impact;problem size;minimum degree;sparse matrix factorization;application performance;factorization performance;high performance;high performance workstations;parallel machine;MFLOPS performance,"['perform', 'impact', 'problem', 'size', 'minimum', 'degre', 'spars', 'matrix', 'factor', 'applic', 'perform', 'factor', 'perform', 'high', 'perform', 'high', 'perform', 'workstat', 'parallel', 'machin', 'mflop', 'perform']"
S Haridi,overlay network;structured overlay network;P2P system;network partition;mesh overlay;random overlay network;Structured Overlay;hierarchical network structure;overlay network system;peer-to-peer overlay network,"['overlay', 'network', 'structur', 'overlay', 'network', 'p2p', 'system', 'network', 'partit', 'mesh', 'overlay', 'random', 'overlay', 'network', 'structur', 'overlay', 'hierarch', 'network', 'structur', 'overlay', 'network', 'system', 'peer-to-p', 'overlay', 'network']"
Ryszard Kowalczyk,Web service;service composition;multiple service;service level agreement;service consumer;service provider;composite service;service provision;negotiation process;multiple service provider,"['web', 'servic', 'servic', 'composit', 'multipl', 'servic', 'servic', 'level', 'agreement', 'servic', 'consum', 'servic', 'provid', 'composit', 'servic', 'servic', 'provis', 'negoti', 'process', 'multipl', 'servic', 'provid']"
Luca Deri,high-speed network;network administrator;network management;network management tool;network monitoring;network monitoring application;network packet;network protocol usage;network resource;network traffic,"['high-spe', 'network', 'network', 'administr', 'network', 'manag', 'network', 'manag', 'tool', 'network', 'monitor', 'network', 'monitor', 'applic', 'network', 'packet', 'network', 'protocol', 'usag', 'network', 'resourc', 'network', 'traffic']"
Aida Vitória,rough set;rough relation;knowledge base;rough concept;proposed language;query language;four-valued rough set;paraconsistent rough set;rough knowledge basesThis paper;rough set formalism,"['rough', 'set', 'rough', 'relat', 'knowledg', 'base', 'rough', 'concept', 'propos', 'languag', 'queri', 'languag', 'four-valu', 'rough', 'set', 'paraconsist', 'rough', 'set', 'rough', 'knowledg', 'basesthi', 'paper', 'rough', 'set', 'formal']"
Adam Kowalczyk,supplementary data;synthetic data;au Supplementary information;smooth feature map;text classification;training set;supervised learning;Bioinformatics online;NGS data;Reuters data,"['supplementari', 'data', 'synthet', 'data', 'au', 'supplementari', 'inform', 'smooth', 'featur', 'map', 'text', 'classif', 'train', 'set', 'supervis', 'learn', 'bioinformat', 'onlin', 'ng', 'data', 'reuter', 'data']"
Patrizio Campisi,experimental result;proposed approach;unconventional approach;biometric data;color image;natural image;proposed operator;proposed technique;multimedia security;public MCYT signature database,"['experiment', 'result', 'propos', 'approach', 'unconvent', 'approach', 'biometr', 'data', 'color', 'imag', 'natur', 'imag', 'propos', 'oper', 'propos', 'techniqu', 'multimedia', 'secur', 'public', 'mcyt', 'signatur', 'databas']"
A. Di Nola,fuzzy controller;fuzzy relation equation;fuzzy system;finite BL-algebras;fuzzy implication;fuzzy logic;fuzzy set;composite fuzzy relation equationsIn;finite fuzzy relation;finite fuzzy relation equationsFuzzy,"['fuzzi', 'control', 'fuzzi', 'relat', 'equat', 'fuzzi', 'system', 'finit', 'bl-algebra', 'fuzzi', 'implic', 'fuzzi', 'logic', 'fuzzi', 'set', 'composit', 'fuzzi', 'relat', 'equationsin', 'finit', 'fuzzi', 'relat', 'finit', 'fuzzi', 'relat', 'equationsfuzzi']"
Michael Frese,error training;job complexity;job discretion;task application knowledge;task structure;actual work situation;computerized office work;normal office work;ordinary work situation;particular work setting,"['error', 'train', 'job', 'complex', 'job', 'discret', 'task', 'applic', 'knowledg', 'task', 'structur', 'actual', 'work', 'situat', 'computer', 'offic', 'work', 'normal', 'offic', 'work', 'ordinari', 'work', 'situat', 'particular', 'work', 'set']"
Masayuki Tanimoto,view interpolation;FTV Committee;FTV coding;FTV codingWe;FTV data format;FTV data unit;FTV standardization;FTV system;real-time FTV system;virtual view,"['view', 'interpol', 'ftv', 'committe', 'ftv', 'code', 'ftv', 'codingw', 'ftv', 'data', 'format', 'ftv', 'data', 'unit', 'ftv', 'standard', 'ftv', 'system', 'real-tim', 'ftv', 'system', 'virtual', 'view']"
Balachandran Natarajan,DRE system;grid application;component middleware;underlying middleware;existing grid infrastructure middleware;grid component middleware;middleware technology;new Grid middleware;object computing middleware;CORBA Component Model,"['dre', 'system', 'grid', 'applic', 'compon', 'middlewar', 'underli', 'middlewar', 'exist', 'grid', 'infrastructur', 'middlewar', 'grid', 'compon', 'middlewar', 'middlewar', 'technolog', 'new', 'grid', 'middlewar', 'object', 'comput', 'middlewar', 'corba', 'compon', 'model']"
Stefan Schiffer,data stream mining method;traffic application;domestic robot;service robot;HOME league;qualitative representation;gesture recognition;plan recognition;Qualitative Fluents;Tool Support,"['data', 'stream', 'mine', 'method', 'traffic', 'applic', 'domest', 'robot', 'servic', 'robot', 'home', 'leagu', 'qualit', 'represent', 'gestur', 'recognit', 'plan', 'recognit', 'qualit', 'fluent', 'tool', 'support']"
Fabien Jourdan,metabolic pathway;Small World network;biological network;algorithmA metabolic network;analyse network;biological network visualization;common network;entire network;generic network visualization;large scale network,"['metabol', 'pathway', 'small', 'world', 'network', 'biolog', 'network', 'algorithma', 'metabol', 'network', 'analys', 'network', 'biolog', 'network', 'visual', 'common', 'network', 'entir', 'network', 'gener', 'network', 'visual', 'larg', 'scale', 'network']"
Mohamed Amine Chatti,mobile learning;personal learning environment;collaborative learning;model element;IEEE LOM-compliant automatic learning;Model-driven mashup personal learning;context-aware mobile learning;context-based learning;machine learning;mobile collaborative learning,"['mobil', 'learn', 'person', 'learn', 'environ', 'collabor', 'learn', 'model', 'element', 'ieee', 'lom-compli', 'automat', 'learn', 'model-driven', 'mashup', 'person', 'learn', 'context-awar', 'mobil', 'learn', 'context-bas', 'learn', 'machin', 'learn', 'mobil', 'collabor', 'learn']"
Guy-Vincent Jourdan,Bluetooth network;test case;adaptive distinguishing sequence;conformance testing;Web application;Bluetooth specification;Repetitive Sub-functions;anticipated model;concurrent system;static BSF algorithm,"['bluetooth', 'network', 'test', 'case', 'adapt', 'distinguish', 'sequenc', 'conform', 'test', 'web', 'applic', 'bluetooth', 'specif', 'repetit', 'sub-funct', 'anticip', 'model', 'concurr', 'system', 'static', 'bsf', 'algorithm']"
